State,County,% Adults with Obesity,Food Environment Index,% Physically Inactive,# Limited Access to Healthy Foods,% Frequent Physical Distress,% Frequent Mental Distress,% With Access to Exercise Opportunities,Life Expectancy,Median Household Income,# Uninsured Adults,% Excessive Drinking,,,,STNAME,CTYNAME,POPESTIMATE2022,,TRUE
Arkansas,Logan,41,6.4,31,1922,13,18,64,73.9,45558,1339,17,,,,Arkansas,Little River,11821,,TRUE
Arkansas,Lonoke,37,7.5,28,3621,11,17,44,75.2,64633,4281,18,,,,Arkansas,Logan,21253,,TRUE
Arkansas,Madison,35,6.6,32,1727,14,18,49,76.3,49691,1350,17,,,,Arkansas,Lonoke,75225,,TRUE
Arkansas,Marion,37,6.8,30,534,13,18,31,74.7,42892,1003,18,,,,Arkansas,Madison,17486,,TRUE
Arkansas,Miller,40,6.3,31,5323,13,18,72,73.6,45450,2793,16,,,,Arkansas,Marion,17254,,TRUE
Arkansas,Mississippi,43,6.2,35,4181,14,18,65,69.7,41007,2827,16,,,,Arkansas,Miller,42552,,TRUE
Arkansas,Monroe,42,5.6,37,1221,15,18,61,69.7,37113,375,15,,,,Arkansas,Mississippi,38896,,TRUE
Arkansas,Montgomery,37,6.1,30,1000,14,18,97,75.1,41359,755,17,,,,Arkansas,Monroe,6564,,TRUE
Arkansas,Nevada,42,4.6,32,2462,13,18,48,74.9,40283,441,16,,,,Arkansas,Montgomery,8556,,TRUE
Arkansas,Newton,34,6.8,28,946,12,17,60,75.2,41823,361,18,,,,Arkansas,Nevada,8181,,TRUE
Arkansas,Ouachita,40,5.5,36,4741,14,18,36,72.7,47169,1299,15,,,,Arkansas,Newton,7078,,TRUE
Arkansas,Perry,37,7,29,554,13,17,48,76.2,51204,657,18,,,,Arkansas,Ouachita,22049,,TRUE
Arkansas,Phillips,48,4.4,38,4120,16,19,63,69.5,32419,932,13,,,,Arkansas,Perry,10063,,TRUE
Arkansas,Pike,36,6.4,30,1058,13,17,35,75.2,43710,847,17,,,,Arkansas,Phillips,15304,,TRUE
Arkansas,Poinsett,41,6.1,34,2538,15,19,43,70.6,42639,1421,16,,,,Arkansas,Pike,10179,,TRUE
Arkansas,Polk,36,5.3,31,3501,14,18,59,74.5,43166,1700,17,,,,Arkansas,Poinsett,22495,,TRUE
